ID,ActMode,EpNum,Date,Time,Act,Sleep,Down,IntCustom,Bad,Event,Light,LifeMeasure,OffWrist,PIM
unknown,ZCM,56,6/19/2024,11:32:00,199,0,0,0,0,0,35.65217,10000,0,1145.167
unknown,ZCM,57,6/19/2024,11:33:00,204,0,0,0,0,0,9.731708,10000,0,2665.444
unknown,ZCM,58,6/19/2024,11:34:00,241,0,0,0,0,0,2.272727,10000,0,3467.278
unknown,ZCM,59,6/19/2024,11:35:00,40,0,0,0,0,0,5.634146,10000,0,133.1111
unknown,ZCM,60,6/19/2024,11:36:00,131,0,0,0,0,0,7.585366,10000,0,1338.056
unknown,ZCM,61,6/19/2024,11:37:00,115,0,0,0,0,0,10.21951,10000,0,1095.778
unknown,ZCM,62,6/19/2024,11:38:00,160,0,0,0,0,0,6.219512,10000,0,1766.667
unknown,ZCM,63,6/19/2024,11:39:00,154,0,0,0,0,0,5.04878,10000,0,903.1667
unknown,ZCM,64,6/19/2024,11:40:00,183,0,0,0,0,0,20.41667,10000,0,5621.333
unknown,ZCM,65,6/19/2024,11:41:00,222,0,0,0,0,0,26.97414,10000,0,9486.277
unknown,ZCM,66,6/19/2024,11:42:00,240,0,0,0,0,0,28.49138,10000,0,3545.778
unknown,ZCM,67,6/19/2024,11:43:00,202,0,0,0,0,0,28.30172,10000,0,5552.111
unknown,ZCM,68,6/19/2024,11:44:00,238,0,0,0,0,0,24.69828,10000,0,6301.611
unknown,ZCM,69,6/19/2024,11:45:00,183,0,0,0,0,0,6.707317,10000,0,1821.833
unknown,ZCM,70,6/19/2024,11:46:00,120,0,0,0,0,0,15.5,10000,0,842.0555
unknown,ZCM,71,6/19/2024,11:47:00,162,0,0,0,0,0,19.16667,10000,0,1216.778
unknown,ZCM,72,6/19/2024,11:48:00,130,0,0,0,0,0,24.88793,10000,0,994.3333
unknown,ZCM,73,6/19/2024,11:49:00,184,0,0,0,0,0,21.85345,10000,0,546.3333
unknown,ZCM,74,6/19/2024,11:50:00,176,0,0,0,0,0,9.536586,10000,0,1526.056
unknown,ZCM,75,6/19/2024,11:51:00,167,0,0,0,0,0,8.073171,10000,0,1705.333
unknown,ZCM,76,6/19/2024,11:52:00,188,0,0,0,0,0,1.945455,10000,0,739.8889
unknown,ZCM,77,6/19/2024,11:53:00,268,0,0,0,0,0,15.58333,10000,0,7451.778
unknown,ZCM,78,6/19/2024,11:54:00,228,0,0,0,0,0,11.83333,10000,0,3690.556
unknown,ZCM,79,6/19/2024,11:55:00,220,0,0,0,0,0,6.02439,10000,0,1270.556
unknown,ZCM,80,6/19/2024,11:56:00,164,0,0,0,0,0,8.463414,10000,0,1526.944
unknown,ZCM,81,6/19/2024,11:57:00,197,0,0,0,0,0,12.33333,10000,0,4884.556
unknown,ZCM,82,6/19/2024,11:58:00,151,0,0,0,0,0,15,10000,0,3208.944
unknown,ZCM,83,6/19/2024,11:59:00,271,0,0,0,0,0,10.5122,10000,0,2811.444
unknown,ZCM,84,6/19/2024,12:00:00,153,0,0,0,0,0,2.6,10000,0,1762
unknown,ZCM,85,6/19/2024,12:01:00,197,0,0,0,0,0,19.33333,10000,0,1224.611
